StringID   Type       x          y          demand     ReadyTime  DueDate    ServiceTime 
D0         d          40.0       50.0       0.0        0.0        1236.0     0.0        1
S0         f          40.0       50.0       0.0        0.0        1236.0     0.0        2
S1         f          73.0       52.0       0.0        0.0        1236.0     0.0        3
S2         f          90.0       55.0       0.0        0.0        1236.0     0.0        4
S3         f          55.0       79.0       0.0        0.0        1236.0     0.0        5
S4         f          69.0       89.0       0.0        0.0        1236.0     0.0        6
S5         f          32.0       80.0       0.0        0.0        1236.0     0.0        7
S6         f          39.0       96.0       0.0        0.0        1236.0     0.0        8
S7         f          23.0       80.0       0.0        0.0        1236.0     0.0        9
S8         f          4.0        83.0       0.0        0.0        1236.0     0.0        10
S9         f          18.0       58.0       0.0        0.0        1236.0     0.0        11
S10        f          1.0        56.0       0.0        0.0        1236.0     0.0        12
S11        f          13.0       31.0       0.0        0.0        1236.0     0.0        13
S12        f          -5.0       38.0       0.0        0.0        1236.0     0.0        14
S13        f          26.0       37.0       0.0        0.0        1236.0     0.0        15
S14        f          28.0       13.0       0.0        0.0        1236.0     0.0        16
S15        f          39.0       31.0       0.0        0.0        1236.0     0.0        17
S16        f          48.0       11.0       0.0        0.0        1236.0     0.0        18
S17        f          59.0       17.0       0.0        0.0        1236.0     0.0        19
S18        f          73.0       23.0       0.0        0.0        1236.0     0.0        20
S19        f          74.0       32.0       0.0        0.0        1236.0     0.0        21
S20        f          90.0       44.0       0.0        0.0        1236.0     0.0        22
C1         c          45.0       68.0       10.0       78.0       140.0      90.0       23
C2         c          45.0       70.0       30.0       499.0      553.0      90.0       24
C3         c          42.0       66.0       10.0       863.0      931.0      90.0       25
C4         c          42.0       68.0       10.0       584.0      656.0      90.0       26
C5         c          42.0       65.0       10.0       950.0      1026.0     90.0       27
C6         c          40.0       69.0       20.0       683.0      741.0      90.0       28
C7         c          40.0       66.0       20.0       774.0      836.0      90.0       29
C8         c          38.0       68.0       20.0       1057.0     1125.0     90.0       30
C9         c          38.0       70.0       10.0       958.0      1040.0     90.0       31
C10        c          35.0       66.0       10.0       779.0      845.0      90.0       32
C11        c          35.0       69.0       10.0       869.0      941.0      90.0       33
C12        c          25.0       85.0       20.0       176.0      228.0      90.0       34
C13        c          22.0       75.0       30.0       1042.0     1106.0     90.0       35
