VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1       39.6      173.6       20        165        245         10
  2       26.9      143.4       14        172        252         10
  3       52.6      166.2       19        129        209         10
  4       47.8      151.7       23        269        349         10
  5       56.7      160.8       14        101        181         10
  6      124.0       59.8        9         46        126         10
  7      144.0      122.3       21         39        119         10
  8      178.0      115.5       25        159        239         10
  9       65.6      159.7        4        103        183         10
 10      170.1      107.3       24        266        346         10
 11       60.8      176.6       16        270        350         10
 12      151.7       45.2       20        177        257         10
 13      115.3       74.1       18         20        100         10
 14       64.3      151.8       12         79        159         10
 15      141.7       61.4       21        148        228         10
 16       34.8      148.5       12        224        304         10
 17      169.4      126.0       14        127        207         10
 18       50.3      138.2        2        293        373         10
 19       55.1      125.1       11         51        131         10
 20      151.9      129.7       19         76        156         10
 21       57.0      164.9       17        147        227         10
 22       59.3      123.3       24         36        116         10
 23       71.2      183.2       20        356        436         10
 24      188.3      125.2       10        195        275         10
 25      184.4      117.4       22        176        256         10
 26      158.3      114.1       21         49        129         10
 27      169.6      135.4       11        147        227         10
 28       32.5      166.1        4        185        265         10
 29       90.4       35.8       22        289        369         10
 30      161.7       56.7       12        202        282         10
 31      138.1       51.4       19        117        197         10
 32      115.4       65.4       13        135        215         10
 33      115.0       53.7       13         77        157         10
 34       80.1      179.3       22        324        404         10
 35      161.4      113.8        1         63        143         10
 36      166.4      120.3       16         96        176         10
 37      149.2      118.8       10         55        135         10
 38       13.8      125.7       17         92        172         10
 39       77.9      162.5       16         67        147         10
 40       30.9      138.4        8        156        236         10
 41      129.2       52.6       15         98        178         10
 42      188.0       98.0       12        298        378         10
 43       18.3      150.9       19        204        284         10
 44      163.9      124.9       12        112        192         10
 45       19.9      117.6        5         72        152         10
 46      128.3       57.2        8         73        153         10
 47      127.3       60.4        9         60        140         10
 48      106.3       45.9        1        260        340         10
 49       61.7      135.2        7         42        122         10
 50       57.8      163.4       18        114        194         10
 51       76.8      149.3        3         44        124         10
 52      133.5       42.6        9        223        303         10
 53      120.2       44.9        8        166        246         10
 54      121.3       60.2       19        106        186         10
 55      159.8      120.4        6         79        159         10
 56       51.7      186.0       20        200        280         10
 57       39.5      147.8        9        239        319         10
 58       31.0      130.3       19        124        204         10
 59      127.9       45.6       15        206        286         10
 60       41.6      125.6       11         87        167         10
 61       60.7      144.5        6         61        141         10
 62       63.8      157.4        7        116        196         10
 63      125.0       43.7        8        193        273         10
 64      138.1       54.6        9        130        210         10
 65       30.2      161.2       14        200        280         10
 66      185.5      133.4       17        184        264         10
 67       53.2      172.3       13        165        245         10
 68      110.2       61.3        4         44        124         10
 69       11.8      126.7       22        258        338         10
 70      119.7       43.5       25        178        258         10
 71      192.7      125.1       21        209        289         10
 72       26.9      143.9       22        183        263         10
 73      127.7       56.8       17         84        164         10
 74      165.7      124.4        3        110        190         10
 75       49.6      177.2       22        181        261         10
 76       69.7      180.1       18        250        330         10
 77      175.4      124.3        7        130        210         10
 78       55.6      184.8       17        214        294         10
 79      122.0       60.1       18        117        197         10
 80      160.4      122.5       22         98        178         10
 81       35.5      135.1       17        140        220         10
 82      173.0      104.0       10        272        352         10
 83      180.3      130.7       21        168        248         10
 84      108.5       55.2       14         60        140         10
 85      119.0       57.6        6         93        173         10
 86       46.3      148.6        7        255        335         10
 87       64.5      184.9       15        233        313         10
 88       77.9      184.2        4        339        419         10
 89      102.7       63.5       15         26        106         10
 90        2.8      133.8        2        237        317         10
 91       59.4      161.0       17        132        212         10
 92       32.7      123.2        4        106        186         10
 93       69.7      165.7       15         86        166         10
 94      177.8      121.1       11        144        224         10
 95      171.9       85.2        3        243        323         10
 96       48.1      167.2       22        144        224         10
 97      197.6      121.8        9        225        305         10
 98       52.0      129.2       21         66        146         10
 99      187.9      134.0        3        197        277         10
100      163.8      106.5       23        283        363         10
