VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1      181.8      121.1       25        208        288         10
  2       27.7      145.6       10        300        380         10
  3      126.6       45.5       25        314        394         10
  4       55.6      175.6        7        148        228         10
  5      169.1       97.5        9        113        193         10
  6       34.8       46.4       11        251        331         10
  7      119.4       91.1        2         22        102         10
  8       56.3       91.7       12         71        151         10
  9      177.1       10.2       18        448        528         10
 10       95.2       44.6        5         73        153         10
 11       21.1      129.5       10        116        196         10
 12       41.1      117.4       19         83        163         10
 13       70.0      147.4       22         67        147         10
 14       78.1       16.2        3        169        249         10
 15       31.7      159.8        5        275        355         10
 16       16.7      131.1        5        131        211         10
 17       81.4       96.4       24         23        103         10
 18      188.0       68.2        6        221        301         10
 19      159.0      138.8       16        125        205         10
 20       78.8      183.4       13        445        525         10
 21       54.3       58.1       13        176        256         10
 22      130.9      115.3        8         46        126         10
 23      183.6      179.9        5        341        421         10
 24       64.6       77.8       24        133        213         10
 25      125.8      155.8       17        171        251         10
 26      151.8      114.5       24         90        170         10
 27       70.0       99.7       12         45        125         10
 28      171.5       42.3       13        262        342         10
 29       18.3       61.6       18        283        363         10
 30      121.5      113.6       20         15         95         10
 31       67.3       45.2       20        479        559         10
 32      113.2       34.1       20        276        356         10
 33      141.3      120.6        6         67        147         10
 34      170.8      168.5       19        314        394         10
 35       18.6       26.6       21        340        420         10
 36      183.3       99.0        7        137        217         10
 37      150.5       16.8       12        361        441         10
 38      127.4      171.9       22        145        225         10
 39      180.7      158.7       11        290        370         10
 40       38.3      140.1        8        380        460         10
 41       13.3      133.5       21        145        225         10
 42      186.3      186.7       21        327        407         10
 43       78.7       22.0        2        153        233         10
 44      107.4       12.3        2        208        288         10
 45      124.6       20.9       14        238        318         10
 46      100.8       38.4        4         91        171         10
 47       58.6      171.9       25        134        214         10
 48       75.5      131.7        8         30        110         10
 49      154.4       13.8       15        376        456         10
 50      188.9      172.5        7        360        440         10
 51      189.6      103.4        9        155        235         10
 52      144.0       70.4       10        369        449         10
 53      117.3      176.3       10        124        204         10
 54      158.1       93.1        5         81        161         10
 55       53.4       87.3        3         86        166         10
 56      146.5       70.4        5        357        437         10
 57      122.3       26.5        4        254        334         10
 58      158.8      182.2       13        290        370         10
 59       93.2       34.4        2        110        190         10
 60      174.7      137.2        8        181        261         10
 61      100.0      163.3       18         92        172         10
 62      182.6      117.0       13        223        303         10
 63      174.1       79.9       13        193        273         10
 64      137.1      140.2       18        232        312         10
 65      124.8      111.8       14         29        109         10
 66       26.8      136.5       15        334        414         10
 67       15.3       29.1        5        326        406         10
 68       24.4      146.5       19        314        394         10
 69       51.6       40.0       12        223        303         10
 70       91.1      135.6       17         37        117         10
 71       82.7       69.2        2         25        105         10
 72       44.0      100.3        6         46        126         10
 73       84.8       35.3       12        128        208         10
 74       40.8      152.5        4        254        334         10
 75       74.4      140.9       20         49        129         10
 76       54.9       61.3       16        162        242         10
 77       20.3      133.6       10        351        431         10
 78      101.7      139.4       23         58        138         10
 79      160.3       49.0       25        300        380         10
 80      162.7       94.0       10         96        176         10
 81      133.3       94.5        9         46        126         10
 82      149.4      142.3       12        145        225         10
 83       91.4       58.5        8         49        129         10
 84       84.3      156.2       24         94        174         10
 85       68.2      182.3        2        173        253         10
 86       94.6      131.3       15         21        101         10
 87       42.0      147.3        3        239        319         10
 88       62.7       53.6       14        195        275         10
 89      114.7       96.5       20          5         85         10
 90       89.7       91.0        8          3         83         10
 91       43.6       25.8       24        519        599         10
 92       42.1      108.8       17         64        144         10
 93       53.4      152.4        4        216        296         10
 94      159.2       53.4        9        315        395         10
 95      143.5      161.9        2        200        280         10
 96      162.8       40.3       25        281        361         10
 97      173.6      155.7        1        272        352         10
 98      116.2       39.7       17        292        372         10
 99       49.4       76.3        7        108        188         10
100      154.1       65.6        1        338        418         10
