VEHICLE
NUMBER     CAPACITY
200          200
CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
  0      100.0      100.0        0          0    1000000         10
  1      159.1       21.9       19        350        430         10
  2      188.4       32.5       20        439        519         10
  3      164.9       42.0       24        336        416         10
  4       70.6      129.2        2         31        111         10
  5       46.5       56.5       18        157        237         10
  6      126.1       10.8       21        306        386         10
  7       46.9       59.5       19        144        224         10
  8       71.7      132.1       25         44        124         10
  9       59.5       54.2       19        180        260         10
 10      168.2      109.1        6        249        329         10
 11       44.7       85.7       17         78        158         10
 12      159.9      120.1       20        225        305         10
 13       68.0       80.9       11         27        107         10
 14       54.9       93.7       14         55        135         10
 15      156.3       45.4       21        367        447         10
 16       13.1      104.8        1         77        157         10
 17      166.7       45.9        9        322        402         10
 18       79.1      171.9       15         94        174         10
 19      158.0       42.3       24        353        433         10
 20      131.6      170.7       15        157        237         10
 21      172.6       19.0       13        408        488         10
 22       65.3       44.2       25        226        306         10
 23       39.7       94.7       15         98        178         10
 24       15.0      122.4       20        104        184         10
 25       59.0       61.5       13        198        278         10
