==============================================================================
WEEK 7 — Improvement + Ablation (ground-air collaborative)
==============================================================================
seeds=10 (base 20260720..20260729)  sizes=[8, 12, 16, 20]
truck_speed=1.0  drone_speed=2.0  drone_range=160.0  service=10
shared evaluator: FSTSP completion time, ONE serial drone, sync enforced
configs: published, v2, abl_cap1, abl_notakeoff, imp_cap3
total instances = 40 x 5 configs = 200 runs

=== size N=8 ===
  seed 20260720 [published     ] mk=  283.4 ( 24.7%) off=1/8 0.002s
  seed 20260720 [v2            ] mk=  232.8 ( 38.1%) off=2/8 0.008s
  seed 20260720 [abl_cap1      ] mk=  283.4 ( 24.7%) off=1/8 0.003s
  seed 20260720 [abl_notakeoff ] mk=  232.8 ( 38.1%) off=2/8 0.005s
  seed 20260720 [imp_cap3      ] mk=  159.1 ( 57.7%) off=5/8 0.018s
  seed 20260721 [published     ] mk=  345.4 ( 17.8%) off=1/8 0.001s
  seed 20260721 [v2            ] mk=  204.3 ( 51.4%) off=4/8 0.005s
  seed 20260721 [abl_cap1      ] mk=  345.4 ( 17.8%) off=1/8 0.002s
  seed 20260721 [abl_notakeoff ] mk=  255.2 ( 39.2%) off=3/8 0.004s
  seed 20260721 [imp_cap3      ] mk=  283.7 ( 32.5%) off=3/8 0.012s
  seed 20260722 [published     ] mk=  303.9 ( 15.7%) off=1/8 0.001s
  seed 20260722 [v2            ] mk=  262.7 ( 27.1%) off=2/8 0.007s
  seed 20260722 [abl_cap1      ] mk=  303.9 ( 15.7%) off=1/8 0.002s
  seed 20260722 [abl_notakeoff ] mk=  262.7 ( 27.1%) off=2/8 0.006s
  seed 20260722 [imp_cap3      ] mk=  220.7 ( 38.8%) off=3/8 0.016s
  seed 20260723 [published     ] mk=  240.8 ( 43.2%) off=3/8 0.002s
  seed 20260723 [v2            ] mk=  236.0 ( 44.4%) off=4/8 0.006s
  seed 20260723 [abl_cap1      ] mk=  240.8 ( 43.2%) off=3/8 0.003s
  seed 20260723 [abl_notakeoff ] mk=  264.9 ( 37.5%) off=3/8 0.005s
  seed 20260723 [imp_cap3      ] mk=  239.4 ( 43.5%) off=4/8 0.010s
  seed 20260724 [published     ] mk=  320.1 ( 24.8%) off=1/8 0.002s
  seed 20260724 [v2            ] mk=  320.1 ( 24.8%) off=1/8 0.006s
  seed 20260724 [abl_cap1      ] mk=  320.1 ( 24.8%) off=1/8 0.002s
  seed 20260724 [abl_notakeoff ] mk=  320.1 ( 24.8%) off=1/8 0.004s
  seed 20260724 [imp_cap3      ] mk=  317.0 ( 25.6%) off=3/8 0.010s
  seed 20260725 [published     ] mk=  242.0 ( 33.5%) off=2/8 0.002s
  seed 20260725 [v2            ] mk=  242.0 ( 33.5%) off=2/8 0.006s
